sample_id,label,perturbation,predicted_match,predicted_error_type,reason,correct
positive/sample_001,positive,,True,,"The drawing correctly reflects the text description. The base plate dimensions (860x833) match the overall outline. The 2 rounded rectangles (Dunzhu) have the correct dimensions (165x187, R23) and spacing (382 center-to-center, derived from 165+217). The 4 circles (Zhuangji) have the correct radius (97, from Ø194) and spacing (horizontal 416 from Front View bottom gap 222+194; vertical 391 from Side View bottom gap 197+194). The heights for Dunzhu (325), Chengtai (341), and Zhuangji (356) match the Front and Side views.",True
positive/sample_002,positive,,True,,,True
positive/sample_003,positive,,True,,,True
positive/sample_004,positive,,True,,"The CAD drawing accurately reflects the text description. The base plate dimensions (960x782) match the overall footprint. The two rounded rectangles (217x142, R30) with spacing 466 are correctly placed in the top view. The six circles (radius 54) representing the pile foundations are arranged in a 3x2 grid with horizontal spacing 279 and vertical spacing 373, matching the leg positions in the front and side views. The component heights (359, 297, 360) correspond to the elevation views.",True
positive/sample_005,positive,,False,symmetry_error,"The text description specifies different horizontal spacings for the circles (212) and the rounded rectangles (276), implying they are offset from each other. The Front View correctly shows this offset (3 columns at the bottom vs 2 blocks at the top). However, the Top View depicts them in a single aligned 3x3 grid, using the dimensioning of the top blocks (113-148-128-148-113) for the circles as well, which contradicts the specified spacing of 212 for the circles.",False
positive/sample_006,positive,,False,scale_error,"The text description states a spacing of 496 for the rounded rectangle ('arranged horizontally with spacing 496'), but the drawing shows only one rounded rectangle (making spacing undefined) and contains no dimension of 496. All other dimensions (base plate 804x849, rounded rect 159x213, circles r=92, spacings 394/414, heights 223/252/328) match the drawing correctly.",False
positive/sample_007,positive,,True,,,True
positive/sample_008,positive,,True,,"The drawing dimensions match the text description. Base plate width 955 (391+173+391) and depth 541 (186.5+168+186.5) are correct. The central rounded rectangle is 173x168 with R24. The 4 circles have radius 99 (Ø198) and are arranged in a grid. Horizontal spacing between circle centers is 463 (aligned with legs at x=246 and x=709). Vertical spacing between circle centers is 265 (aligned with legs at y=138 and y=403, difference 265). Column heights (294, 315, 380) match.",True
positive/sample_009,positive,,False,scale_error,"The text description states the 6 circles have a horizontal spacing of 175 and vertical spacing of 325. While these values match the spacing of the pile foundations (legs) shown in the bottom dimensions (144+31=175 and 144+181=325), the actual circles shown in the top view are arranged in a different grid. The top view circles are centered in the 189.5/177/189.5 sections (horizontal spacing ~183) and the 278/144/278 sections (vertical spacing ~422). Additionally, the text mentions a 'spacing 481' for the rounded rectangle, which does not correspond to any dimension in the drawing.",False
positive/sample_010,positive,,True,,,True
positive/sample_011,positive,,False,scale_error,"The text description states that the 9 circles have a horizontal spacing of 238 and a vertical spacing of 308. However, the drawing dimensions indicate a horizontal spacing of 370 (calculated from the 234 width and 136 gap between columns) and a vertical spacing of approximately 281 (calculated from the 368.5 and 193 height segments). While the count of circles (9) and rounded rectangles (2) matches, the spacing dimensions are incorrect.",False
positive/sample_012,positive,,False,scale_error,"The text description specifies incorrect spacing values. It claims a 'horizontal spacing 771' for the circles and a 'spacing 587' for the rounded rectangle. The drawing shows the circles arranged vertically with a center-to-center spacing of 337 (matching the 'vertical spacing 337' in the text), and the rounded rectangle is centered with no such spacing of 587. Additionally, the text describes a '1x2 grid' which usually implies horizontal arrangement, but the drawing shows a vertical arrangement (1 column, 2 rows) in the top view.",False
positive/sample_013,positive,,False,scale_error,"The text description states the vertical spacing of the 6 circles is 224. However, the drawing dimensions show the base plate depth (533) divided into sections of 188.5, 156, and 188.5. If the circles are centered within the outer sections or at the boundaries, the resulting spacing (e.g., 156 if centered at the 156-zone boundaries) does not match the specified 224. Additionally, a spacing of 224 would imply a margin of 154.5, which contradicts the drawing's margin of 188.5.",False
positive/sample_014,positive,,True,,,True
positive/sample_015,positive,,True,,"The drawing correctly reflects the text description. The base plate dimensions (920 width, 961 height) match the sum of segments in the views. The central rounded rectangle (236 wide, 279 tall, R16) is present and sized correctly. The 6 circles (radius 92, i.e., diameter 184) are arranged in a 3x2 grid with horizontal spacing 290 (184 width + 106 gap) and vertical spacing 436 (calculated from side view leg positions). The component heights (242, 211, 328) match the vertical dimensions in the front/side views. The dashed lines for circles correctly indicate hidden features (pile foundations) beneath the base plate.",True
positive/sample_016,positive,,False,count_error,"The text describes 3 circles in a 1x3 grid layout with vertical spacing 290. The drawing shows only 2 visible dashed circles in the top view with a vertical spacing of 274 (matching the middle section height). While the side view shows 3 piles (which should correspond to the circles), their positions in the top view (at 344.5 from edges) do not match the pile positions in the side view (at 191.5, 481.5, 771.5 from edges), indicating a geometric inconsistency and incorrect count/position of circles in the top view.",False
positive/sample_017,positive,,True,,"The text description accurately matches the engineering drawing. The base plate dimensions (587 width, 890 height/depth) correspond to the sum of segments in the views. The central rounded rectangle dimensions (126 wide, 238 tall, R17) match the top view. The 6 circles are arranged in a 2x3 grid with horizontal spacing of 283 (matching the leg spacing in the front view: 587 - 2*(102+50) = 283) and vertical spacing of 270 (matching the leg spacing in the side view: 100+170 = 270). The circle radius (50, from Ø100) and dashed style are correct. The component heights (316, 365, 236) match the vertical dimensions in the front/side views.",True
positive/sample_018,positive,,False,scale_error,"The text description states that the 3 circles have a 'horizontal spacing 617', but the drawing shows them arranged in a vertical column (aligned vertically), meaning there is no horizontal spacing between them. While the vertical spacing of 252 matches the drawing (center-to-center distance of the hanging blocks in the side view), the specified horizontal spacing is incorrect and inconsistent with the vertical layout shown.",False
positive/sample_019,positive,,False,scale_error,"The text description specifies 'horizontal spacing 649' and 'spacing 580' for the rounded rectangle, which do not match the drawing. The drawing shows a vertical arrangement of 3 circles with a vertical spacing of 197 (matching the side view leg spacing), and the rounded rectangle is centered with margins of 260 (horizontal) and 243 (vertical). Additionally, the text implies a horizontal 1x3 grid layout, whereas the drawing shows a vertical arrangement.",False
positive/sample_020,positive,,False,scale_error,"The text description and side view indicate a vertical spacing of 335 for the two circles (piles). However, the top view dimensions (277.5, 224, 277.5) imply a different arrangement. If 224 is the spacing between centers, it contradicts the side view. If 277.5 represents the distance from the edge to the center, the spacing would be 779 - 277.5 - 277.5 = 224, which also contradicts the required spacing of 335.",False
positive/sample_021,positive,,False,scale_error,"The horizontal spacing of the circles in the drawing is 440 (calculated from center-to-center of the 191-wide features with 249 gap), but the text states 436. The vertical spacing in the drawing is approximately 188 (based on centered zones of 252.5, 123, 252.5), but the text states 203.",False
positive/sample_022,positive,,True,,"The drawing correctly reflects all dimensions and features described in the text. The base plate is 677x570. The two rounded rectangles are 154x121 with R23 corners, spaced 331 apart (center-to-center). The six circles (representing piles) are in a 3x2 grid with horizontal spacing 218 and vertical spacing 249 (derived from side view bottom dimensions: 89.5+142+107+142+89.5=570, centers at 160.5 and 409.5, diff=249). The heights (265, 366, 300) also match the views.",True
positive/sample_023,positive,,True,,"The drawing accurately reflects the text description. The base plate dimensions (961x976) match the sum of the segments in the top view. The single rounded rectangle (306x194, R27) is present in the center. The 9 circles are arranged in a 3x3 grid with horizontal spacing 277 (calculated from front view bottom dimensions: 63+151+63) and vertical spacing 321 (calculated from side view bottom dimensions: 104+63 to next center). The component heights (315, 245, 283) match the front/side views.",True
positive/sample_024,positive,,True,,"The drawing accurately reflects the text description. The base plate dimensions (566 width, 829 depth) match the sum of segments in the views. The column heights (350, 265, 268) correspond to the elevation sections. The top view correctly shows 1 central rounded rectangle (138x141, R21) and 4 dashed circles (radius 62) representing the hidden pile foundations, arranged in a 2x2 grid with horizontal spacing 261 and vertical spacing 407.",True
